ReviewText;Review;ReviewLength;PlayHours;DatePosted
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠿⢮⠿⠧⠒⠚⠉⠋⢉⣀⣤⣾⣧⣢⢄⣀⠀⠀⢺⣶⡄⠉⠀⠀⢀⣀⠠⢁⡓⣬⢑⡾⢯⠹⡜⣿⣿⡝⣿⢋⡻⣿⣻⣟⣻⢿⣻⣟⣿⣿⣿⣿⣿⣿⣿⡟⠛⣿⠛⢻⣿⡿⠛⠉⠛⢦⣄⢠⢤⣿⠓⠒⢻⡟⠛⠛⣿⣿⠛⠛⠛⣷⣾⡟⠛⣶⣿⠛⠛⠛⠻⣦⣷⠛⠛⠛⢷⣿⠛⢻⡟⠛⢿⣶⠟⠛⠙⠻⣾⣿⠞⠋⠛⠻⣿⣿⣿⣿⣿⣿⡇⠀⠹⠀⢸⣿⡇⠀⣿⠀⠀⡧⠡⣸⣿⠀⠀⢸⡇⠀⠀⣿⣿⠀⢀⠀⢻⣿⡇⠀⣿⣿⠀⢸⡇⠀⢸⣿⠀⠀⣷⣿⣿⠀⠀⢷⠀⣿⣿⠀⠹⣦⣤⣿⣿⣄⣸⠂⠀⣹⣿⣿⣿⣿⣿⠀⠀⠀⠀⢸⣿⡇⠀⣿⠀⠀⣧⣷⣿⣿⠀⢸⠀⠀⡆⠀⣿⡏⠀⢸⠀⠸⣿⡇⠀⢾⣿⠀⢸⡇⠀⢸⢾⠀⢀⣈⣿⣿⠀⢀⠀⠀⣿⣿⣦⣀⠀⠙⣿⣿⠉⠙⠁⠀⣼⣿⣿⣿⣿⣿⠀⠀⡆⠀⢸⣿⡇⠀⠿⡄⢀⣿⣿⢻⣷⠀⢸⡀⢀⡇⢀⣿⡇⠀⣠⡀⠀⣿⣇⠀⣻⣿⠀⠸⠇⠀⣸⣿⠀⠀⠿⢿⣿⠀⢸⡀⠀⢿⣿⠀⠸⠇⠀⣸⣿⠶⢾⣶⣾⣿⣿⣿⣿⣿⣿⣶⣴⣿⣦⡼⠟⠛⢶⣤⣾⣿⣿⠏⣼⢿⢴⣾⣷⣾⣷⠶⠛⠳⠦⠟⠳⠶⠟⠳⠶⠟⠹⢶⣶⢾⣿⣿⡿⣷⣷⣦⡾⠻⠶⠼⠷⠶⠾⢿⣷⣤⡤⠾⠻⠻⠦⢾⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠋⠀⢠⡖⣩⣾⣿⠟⡁⡾⠃⠀⣮⣿⣿⠉⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢸⡸⣿⣿⣷⠀⢹⣮⣧⠀⠀⢣⡀⠀⢠⠈⢿⡧⣼⠁⡄⢣⠐⠀⢻⣿⣿⣾⣿⣽⣿⣻⣿⡿⠁⠀⣴⢋⣼⣿⠿⠋⣰⠇⠀⢀⣶⣿⣿⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠘⢷⢻⣻⢿⡄⠂⣽⣿⡄⡘⠌⢓⠀⠂⠐⠘⢿⣼⣷⢀⠈⡲⢦⣆⡿⣿⣿⣿⢷⣯⣿⠟⠀⢀⡞⢡⣾⠟⠁⢠⣾⠏⠀⠀⣼⢿⣿⠇⠀⠀⠀⠀⢀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢸⣾⡄⣿⡆⠐⡈⣿⡏⣑⠣⢌⠃⠀⠉⣤⣦⡉⢿⣿⣇⠺⣥⣞⡵⡹⣿⡿⣯⣿⠋⢀⡴⣋⣴⠟⠁⠀⣰⣿⠏⢀⠀⣸⣯⣿⡟⠀⠀⠀⠀⡠⠠⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠰⣿⣇⠸⣷⡐⡀⢹⣷⣌⢝⠢⢌⢠⡁⣹⣿⣧⠈⢿⣿⡳⡆⡝⣜⢡⢻⢷⣿⢏⠀⡞⡼⠉⠁⡴⢫⣾⣿⡣⢰⠇⣀⣿⣿⣿⠃⠀⠀⠀⠀⠀⣠⣼⡇⠀⠀⠀⠀⠀⠀⠀⢀⣴⡖⠀⠳⢻⡀⢻⣷⠀⠀⠛⢾⣏⡝⢦⠀⡷⢸⣿⣿⠷⣮⣽⣷⣋⠖⡭⢦⣉⣾⠏⣿⠀⠀⠀⢀⣾⣷⢟⢞⡽⣡⡿⣴⣿⣿⡟⠉⢀⣀⣠⣴⡾⠿⠿⠟⠁⠀⠀⠀⠀⠀⠀⠀⠀⢻⣷⡄⠀⠈⢷⡘⣿⣯⠐⡈⠘⣿⡜⣯⡒⣿⡆⢻⣿⢯⢹⡿⣿⡗⣞⢰⠛⣶⣿⢰⡇⠀⢀⢠⣿⡿⠋⢠⣾⢷⣿⣵⣿⣿⣿⠿⠛⠉⠉⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠛⠿⣶⣄⠀⠹⣇⠛⣷⡁⢀⢹⣿⡹⣷⣿⣏⠈⣿⣟⠦⣓⢿⣿⡌⢧⡋⠴⣿⣿⡇⠐⢀⣾⡿⢃⣤⣿⢣⣿⣿⣿⣿⣿⣧⣴⣶⣶⣶⣖⣲⣀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠈⠳⢦⣜⡇⢘⣿⠀⠈⣿⣧⣿⣿⡇⢣⣿⣿⡎⣷⣘⣿⣏⢽⣎⠱⣿⣿⠏⠀⣸⣿⡧⣾⠟⡅⣾⣿⣿⣿⣿⣻⣿⣿⡟⠻⡿⢿⣿⣿⣿⣀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣀⠀⠀⠀⠀⠈⣷⡌⣿⢿⡀⢹⣿⣾⣿⡇⢣⢿⣿⣏⣿⣜⣿⣿⡞⡽⣖⣿⠏⠀⣰⣿⠯⣽⢏⣼⠻⣿⢳⣿⣿⣿⠁⠙⠛⠷⣤⣙⠲⠧⠟⡛⠻⠅⠀⠀⠀⠀⠀⠀⠀⢀⡀⣴⡿⠿⠽⣿⣶⣦⢤⣼⣶⣟⡘⣧⡙⣯⢿⣿⡸⡱⣮⣿⣯⢽⡟⣾⣿⣟⡼⢹⢋⠄⢰⣿⠏⢘⣿⣯⣼⠀⣿⣿⣿⣿⡿⠀⠀⠀⠀⠀⠉⠉⠉⠉⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠛⠻⣿⣿⣿⣦⣤⣈⡉⣿⣯⡽⡟⠆⢿⠠⢿⣻⣧⣻⣧⠗⡼⣿⣿⡝⣖⢻⣿⣞⠷⠋⢰⣿⠋⣠⣾⢟⣁⢾⣵⣿⣷⣿⣿⣇⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠙⠻⠺⠻⢿⡿⢿⣿⣿⠧⣷⣼⡿⣘⣿⡗⣿⡜⡧⢎⣹⣿⡏⣾⢣⣿⣿⣮⣶⠟⣣⣾⣿⣿⡖⣴⣾⣿⣿⣿⣿⣹⣿⡄⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣻⠟⣿⠀⣿⡿⣿⣼⣿⢹⣿⣿⡗⡨⣜⣿⣟⡔⣣⢻⣷⣻⣯⣾⣿⣿⣿⣻⣴⣿⣿⣿⣿⣿⢿⣿⣿⣇⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠠⣤⣿⠟⠻⣷⣿⣇⣿⣿⡘⣾⣿⣿⣷⡱⣌⢳⡭⣿⡄⢻⡜⣿⣿⣿⣿⣿⡏⣷⣿⣿⣿⣿⡿⣿⡟⣿⢿⣿⡀⠀⠀⠀⠀⠀⠀⠀⠀⠐⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣠⠟⠁⠀⢀⣾⣿⣿⣿⣇⢺⣿⣿⣟⣿⣿⡆⣏⢔⠻⡌⠷⡰⢛⣿⣿⣿⣿⣗⢸⢻⣿⣿⣿⣿⣿⣿⡘⢷⡝⣷⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣸⣿⣿⣿⣿⡇⣾⡞⣿⢭⣿⣷⢟⠧⣾⣷⣶⣹⣶⣍⣿⣿⡿⣿⣿⣾⣽⣿⣿⣿⣿⣿⡻⢷⣙⣷⡜⣿⣆⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣠⣿⣟⣽⣿⣟⣧⣻⡇⡛⢦⣿⣿⢺⣟⢷⣻⣯⢳⣿⣿⣿⣿⣷⣿⣿⣿⣿⣿⣿⣿⣿⣿⣷⣸⢿⣽⣷⡿⣿⡀⠀⠀⠀⠀⠀⠀⠀⠀⢀⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣴⣿⡿⢹⣿⣿⣿⣏⣿⣃⢣⣾⣿⣏⣾⣟⣼⡻⣯⢾⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣞⢿⣿⣷⣿⣷⣄⠀⠀⠀⠀⠀⠀⠀⠀⠀⠑⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣠⣿⣿⠏⡔⣿⢿⣿⣿⣿⣺⣷⡿⣿⠟⣽⣳⣿⡲⣿⡴⣻⣿⣽⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣯⢷⠻⣿⣷⣧⣿⣦⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣠⣶⣿⣿⠛⠠⢘⣼⠋⣼⣿⣿⣿⡷⣿⣿⣟⣾⣿⣟⣿⣷⢫⣷⣿⣻⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣟⣯⠹⣿⡷⣻⣿⣿⣦⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣀⣴⣾⣿⣿⡿⠋⠀⡌⣴⡿⢡⠂⣿⣿⣿⣿⣿⣽⣿⣿⣿⣟⡾⣿⣽⣾⣯⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣽⡧⣹⣷⣹⢿⣿⣿⣷⣄⡀⠀⠀⢀⣀⣤⣶⣿⣿⣿⣿⣿⠟⠀⢀⡶⢿⡿⢁⢦⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣷⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣷⣿⣥⡹⣿⣾⡹⣿⣿⣿⣿⣿⣿⢿⣿⣿⣿⣿⣿⣿⠿⢡⠠⠒⠀⣼⡟⣱⢯⣾⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣾⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣧⠜⡹⣷⡝⣎⣿⣿⣽⣿⣗⣫⣿⣿⣿⡿⠛⠁⠀⠀⠀⢠⣾⠏⠜⣱⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣏⠄⠑⢞⠻⢬⢍⠻⢿⣿⣿⣟⡿⠟⠁⠠⠀⠊⠁⢀⣰⠟⢁⠠⠚⣵⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣆⠀⠈⢣⠄⠂⠡⠀⠹⣿⣿⣄⠀⠀⠀⠀⠀⣠⡞⠁⠈⠀⣠⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣦⡄⠀⠑⠘⠀⠀⠀⠉⠘⢿⡿⢦⣀⣠⣞⠋⠀⠀⠀⣤⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣆⡀⠠⠀⠀⠀⠀⠀⠀⠹⣷⡽⠟⢁⣀⣀⣠⣾⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣷⣾⣷⣮⣄⠀⠀⠀⠘⢿⡖⢣⣴⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⢦⡀⠀⣀⣤⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡿⢛⣿⣿⣿⣿⣿⣻⣿⣿⡿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡿⣷⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣌⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡟⢰⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡎⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡧⢸⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠇⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⢸⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⢂⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣎⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⢯⣴⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣜⠻⠿⢿⣿⣿⣿⣿⣿⣿⣟⣷⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣷⣤⣶⣶⣯⣽⣿⣿⣿⣽⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿;Recommended;2990;294.0;03-29-2024
I died a lot. Very recommended;Recommended;25;59.6;03-29-2024
''You Died'';Recommended;11;56.5;03-29-2024
best open world game i ever played;Recommended;28;38.2;03-29-2024
I can beacome Guts. Best game;Recommended;24;29.0;03-29-2024
Pain;Recommended;4;123.4;03-29-2024
Product refundedI was defeated by this game. Steam issued me a refund out of sadness. 10/10 would lose again;Recommended;90;2.5;03-29-2024
I already have too many hours on the Xbox version. I will now dump countless hours into this one for the DLC. Be careful because you will lose yourself in the lands between. The days start to blur together and pass by in a moment. I must become the Elden Lord. Ranni is calling me.....;Recommended;231;9.7;03-29-2024
this game is goated on folks nem;Recommended;26;174.2;03-29-2024
its ok;Recommended;5;457.9;03-29-2024
